state_name,tot_area,share_area,tot_cap,tot_sentiment,annual_growth,cluster
Austria,620656.0,23.37,115676010.87,38.63636363636363,2.5032218916713855,3
Belgium,83508.0,6.28,19135945.43,8.818181818181818,5.596956993610549,3
Bulgaria,116253.00000000001,2.3,21991683.92,5.2727272727272725,18.35371318003016,1
Croatia,96618.0,6.46,27490357.29,10.818181818181818,15.912309195986577,1
Cyprus,5616.0,4.61,2648553.1799999997,3.5454545454545454,7.670581832616565,3
Czechia,496277.0,14.09,53942429.06,0.09090909090909083,1.868618868528753,3
Denmark,226307.0,8.6,35210928.79,34.77272727272727,4.970554177537176,3
Estonia,196441.0,20.01,17084296.54,1.3636363636363633,5.0782243437212315,3
Finland,259271.0,11.41,55952806.97,2.5454545454545454,6.4430269344353075,3
France,1744420.0,5.99,154729551.79,23.181818181818183,10.566329039990379,2
Germany,1138272.0,6.82,274162859.6700001,19.0,5.622459629990473,2
Greece,462618.0,9.01,96990647.71,8.181818181818182,2.213244584779347,3
Hungary,199683.0,3.7299999999999995,21612443.79,12.545454545454545,9.67878885276119,3
Ireland,74307.0,1.6500000000000004,7980987.52,8.909090909090908,6.802062861297654,3
Italy,1908570.0,14.67,375130972.05,9.636363636363637,6.619036658742698,2
Latvia,268870.0,13.92,27876561.73,4.454545454545454,4.584129663389871,3
Lithuania,234134.0,7.98,31318676.98,3.3636363636363638,5.98637425840389,3
Luxembourg,5444.0,4.15,1097645.6400000043,3.727272727272727,7.4587684766178155,3
Malta,41.0,0.34999999999999964,-3.725290298461914e-09,1.8181818181818183,39.5682899526142,1
Poland,549443.0,3.78,75597138.8,4.0,-1.5814095139162747,3
Portugal,245052.0,6.74,26361914.43,15.454545454545457,19.46100878172576,1
Romania,289252.0,2.0999999999999996,33120593.75,7.545454545454546,8.103060313475037,3
Slovakia,188986.0,9.85,16558286.01,1.3636363636363633,4.441361470309905,3
Slovenia,46222.0,9.6,9633065.64,2.5454545454545454,4.012688195258267,3
Spain,2082173.0,8.73,134292461.4,2.0,4.453483463655074,2
Sweden,576845.0,19.16,63396955.120000005,7.636363636363637,2.296565883540601,3
