indicator,subindicator,parameter,unit,code,source,memberStateCode,memberStateName,year,value,flag
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,BG,Bulgaria,2022,110441.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,HR,Croatia,2022,129374.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,CZ,Czechia,2022,563527.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,EE,Estonia,2022,231011.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,DE,Germany,2022,1630984.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,IE,Ireland,2022,95701.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,LT,Lithuania,2022,271329.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,LU,Luxembourg,2022,8255.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,PT,Portugal,2022,759977.0,e
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,ES,Spain,2022,2675331.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,SE,Sweden,2022,597204.0,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,AT,Austria,2022,72772666.19,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,BE,Belgium,2022,9583594.47,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,BG,Bulgaria,2022,22223267.25,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,HR,Croatia,2022,35295802.82,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,CY,Cyprus,2022,2622569.28,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,CZ,Czechia,2022,47091924.62,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,DK,Denmark,2022,28348502.3,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,EE,Estonia,2022,15774983.09,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,EU-27,European Union 27 (excluding UK),2022,1799498000.14,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,EU-28,European Union 28,2022,1804433608.65,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,FI,Finland,2022,15230641.1,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,FR,France,2022,164462981.6,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,DE,Germany,2022,303950662.38,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,EL,Greece,2022,182167219.95,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,HU,Hungary,2022,72957360.13,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,IE,Ireland,2022,8455272.73,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,IT,Italy,2022,298761078.66,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,LV,Latvia,2022,31971876.08,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,LT,Lithuania,2022,36740969.82,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,MT,Malta,2022,1813.55,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,PL,Poland,2022,71055409.01,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,PT,Portugal,2022,87745075.58,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,RO,Romania,2022,98208785.47,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,SK,Slovakia,2022,22107959.61,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,SI,Slovenia,2022,8229529.07,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,ES,Spain,2022,132021663.74,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,SE,Sweden,2022,31716391.64,
