country,year,negative,neutral,positive
Austria,2015,0.0,1.0,0.0
Austria,2016,4.0,3.0,7.0
Austria,2017,1.0,2.0,1.0
Austria,2018,6.0,7.0,13.0
Austria,2019,16.0,27.0,35.0
Austria,2020,8.0,11.0,24.0
Austria,2021,22.0,25.0,47.0
Austria,2022,40.0,47.0,78.0
Belgium,2012,0.0,2.0,0.0
Belgium,2013,0.0,0.0,1.0
Belgium,2014,0.0,0.0,1.0
Belgium,2015,0.0,0.0,1.0
Belgium,2016,2.0,4.0,3.0
Belgium,2017,0.0,1.0,1.0
Belgium,2019,2.0,5.0,3.0
Belgium,2020,6.0,5.0,5.0
Belgium,2021,4.0,11.0,12.0
Belgium,2022,8.0,15.0,5.0
Bulgaria,2016,1.0,2.0,2.0
Bulgaria,2019,1.0,2.0,0.0
Bulgaria,2020,0.0,1.0,0.0
Bulgaria,2021,4.0,5.0,1.0
Bulgaria,2022,3.0,11.0,25.0
Croatia,2012,0.0,1.0,0.0
Croatia,2016,1.0,0.0,2.0
Croatia,2017,2.0,8.0,1.0
Croatia,2018,4.0,1.0,2.0
Croatia,2019,3.0,3.0,5.0
Croatia,2020,9.0,17.0,16.0
Croatia,2021,8.0,11.0,10.0
Croatia,2022,3.0,9.0,3.0
Cyprus,2015,0.0,1.0,1.0
Cyprus,2020,2.0,4.0,3.0
Cyprus,2021,0.0,2.0,7.0
Cyprus,2022,3.0,5.0,11.0
Czechia,2020,0.0,1.0,0.0
Denmark,2013,2.0,2.0,12.0
Denmark,2014,8.0,4.0,10.0
Denmark,2015,32.0,19.0,47.0
Denmark,2016,10.0,5.0,6.0
Denmark,2017,39.0,33.0,63.0
Denmark,2018,46.0,33.0,82.0
Denmark,2019,40.0,32.0,69.0
Denmark,2020,39.0,37.0,56.0
Denmark,2021,48.0,34.0,103.0
Denmark,2022,43.0,38.0,84.0
Estonia,2018,7.0,3.0,3.0
Estonia,2019,1.0,1.0,0.0
Finland,2015,0.0,2.0,3.0
Finland,2017,1.0,2.0,1.0
Finland,2018,0.0,1.0,1.0
Finland,2019,0.0,2.0,4.0
Finland,2021,1.0,2.0,5.0
Finland,2022,2.0,0.0,1.0
France,2014,0.0,0.0,1.0
France,2016,1.0,3.0,5.0
France,2017,2.0,6.0,14.0
France,2018,14.0,17.0,13.0
France,2019,19.0,22.0,29.0
France,2020,1.0,4.0,8.0
France,2021,8.0,13.0,25.0
France,2022,23.0,11.0,16.0
Germany,2015,0.0,4.0,0.0
Germany,2017,1.0,1.0,0.0
Germany,2018,1.0,9.0,21.0
Germany,2019,10.0,17.0,24.0
Germany,2020,7.0,1.0,8.0
Germany,2021,6.0,17.0,20.0
Germany,2022,14.0,25.0,23.0
Greece,2017,1.0,0.0,0.0
Greece,2018,0.0,1.0,0.0
Greece,2019,4.0,8.0,16.0
Greece,2020,1.0,6.0,4.0
Greece,2021,6.0,6.0,6.0
Greece,2022,5.0,13.0,13.0
Hungary,2015,0.0,0.0,3.0
Hungary,2017,0.0,1.0,5.0
Hungary,2018,2.0,5.0,1.0
Hungary,2019,6.0,1.0,7.0
Hungary,2020,4.0,9.0,2.0
Hungary,2021,8.0,16.0,25.0
Hungary,2022,12.0,16.0,15.0
Ireland,2013,0.0,1.0,1.0
Ireland,2014,0.0,0.0,2.0
Ireland,2015,1.0,1.0,0.0
Ireland,2016,0.0,3.0,0.0
Ireland,2017,1.0,0.0,1.0
Ireland,2018,1.0,3.0,2.0
Ireland,2019,4.0,5.0,4.0
Ireland,2020,4.0,3.0,2.0
Ireland,2021,2.0,1.0,7.0
Ireland,2022,20.0,10.0,19.0
Italy,2013,6.0,6.0,10.0
Italy,2014,0.0,3.0,2.0
Italy,2015,0.0,2.0,2.0
Italy,2016,2.0,1.0,4.0
Italy,2017,3.0,7.0,9.0
Italy,2018,1.0,2.0,2.0
Italy,2019,4.0,1.0,5.0
Italy,2020,6.0,6.0,6.0
Italy,2021,4.0,1.0,0.0
Italy,2022,4.0,3.0,4.0
Latvia,2014,0.0,0.0,1.0
Latvia,2017,1.0,1.0,4.0
Latvia,2018,0.0,2.0,4.0
